"school_code","school_name","school_address1","school_address2","school_city","school_province","school_postal_code","school_phone","school_fax","school_email","school_website","ecstaught","elementary_taught","junior_high_taught","senior_high_taught","authority_type","latitude","longitude","authority_code","authority_name","authority_address1","authority_address2","authority_city","authority_province","authority_postal_code","authority_telephone","authority_fax","authority_e_mail","authority_website","offer_school_home_education","offer_school_home_education_blended","offer_school_online","offer_school_outreach","school_updated","school_authority_code","ecs","grade_1","grade_2","grade_3","grade_4","grade_5","grade_6","grade_7","grade_8","grade_9","grade_10","grade_11","grade_12","total","start_year","end_year","enrollment_updated"
"0297","Oliver Centre","10227 - 118 Street","","Edmonton","AB","T5K2V4","(780) 482-2116","(780) 488-5545","","","0","0","0","0","ECS Private Operator","53.543789311777","-113.52477773149","0","Oliver Centre Early Learning Programs for Children & Families Society","10227 - 118 Street","","Edmonton","AB","T5K2V4","(780) 482-2116","(780) 488-5545","info@olivercentre.com","","0","0","0","0","2017-03-20 22:01:14","9401","-14","0","0","0","0","0","0","0","0","0","0","0","0","-14","2012","2015","2017-03-20 20:24:33"
"0314","Morinville Learning Centre","9507 - 100 Street","","Morinville","AB","T8R1R2","(780) 939-4033","(780) 939-4035","https://sites.google.com/a/sturgeonstudents.com/st","http://mvllc.wordpress.com","0","0","0","0","Public","53.795805","-113.644407","0","Sturgeon School Division No. 24","9820 - 104 Street","","Morinville","AB","T8R1L8","","","","http://www.sturgeon.ab.ca","0","0","0","0","2017-03-20 22:01:14","1110","0","0","0","0","0","0","0","0","0","0","0","2","14","16","2012","2015","2017-03-20 20:24:32"
"0325","Transitions at the Y","10211-105 Street","","Edmonton","AB","T5J1E3","(780) 429-5737","(780) 377-2483","transitions.at.y@epsb.ca","http://outreach.epsb.ca","0","0","0","0","Public","53.543359997338","-113.50062057606","0","Edmonton School District No. 7","One Kingsway","Centre for Education","Edmonton","AB","T5H4G9","(780) 429-8000","","","http://www.epsb.ca","0","0","0","0","2017-03-20 22:01:14","3020","0","0","0","0","0","0","0","0","0","0","-5","-7","-30","-42","2012","2015","2017-03-20 20:24:32"
"0338","J. J. Nearing Catholic Elementary School","196 Deer Ridge Drive","","St. Albert","AB","T8N6T6","(780) 418-6330","(780) 419-6683","sjohnston@gsacrd.ab.ca","http://www.gsacrd.ab.ca/jjn","0","0","0","0","Separate","53.652955576365","-113.66202762698","0","Greater St. Albert Roman Catholic Separate School District No. 734","6 St. Vital Avenue","","St. Albert","AB","T8N1K2","(780) 459-7711","(780) 458-3213","","http://www.gsacrd.ab.ca","0","0","0","0","2017-03-20 22:01:14","4077","-1","15","5","6","-16","19","-3","0","0","0","0","0","0","25","2012","2015","2017-03-20 20:24:33"
"0344","Personalized Learning Activities and Community Education","4752-99 Street","","Edmonton","AB","T6E5H5","(780) 488-6600","(780) 488-6664","info@centreforautism.ab.ca","","0","0","0","0","ECS Private Operator","53.485295269417","-113.48734408731","0","Centre for Autism Services Alberta","4752-99 Street","","Edmonton","AB","T6E5H5","(780) 488-6600","(780) 488-6664","info@centreforautism.ab.ca","","0","0","0","0","2017-03-20 22:01:14","0049","6","0","0","0","0","0","0","0","0","0","0","0","0","6","2012","2015","2017-03-20 20:24:33"
"0349","Argyll Home School Centre","6859 - 100 Avenue","","Edmonton","AB","T6A0G3","(780) 465-1299","(780) 465-1328","argyll@epsb.ca","http://argyll.epsb.ca","0","0","0","0","Public","53.539929745552","-113.43447077777","0","Edmonton School District No. 7","One Kingsway","Centre for Education","Edmonton","AB","T5H4G9","(780) 429-8000","","","http://www.epsb.ca","0","0","0","0","2017-03-20 22:01:14","3020","5","-9","-1","-1","-7","-2","-7","-3","38","-2","9","-5","60","75","2012","2015","2017-03-20 20:24:32"
"0378","St. Albert Storefront School","202 Mission Hill Plaza","398 St. Albert Trail","St. Albert","AB","T8N5J9","(780) 459-6616","(780) 459-6606","","","0","0","0","0","Separate","53.629758261086","-113.62724125397","0","Greater St. Albert Roman Catholic Separate School District No. 734","6 St. Vital Avenue","","St. Albert","AB","T8N1K2","(780) 459-7711","(780) 458-3213","","http://www.gsacrd.ab.ca","0","0","0","0","2017-03-20 22:01:14","4077","0","0","0","0","0","0","0","0","0","4","-3","8","-17","-8","2012","2015","2017-03-20 20:24:33"
"0386","Learning Store on Whyte","10007 - 82 Avenue","","Edmonton","AB","T6E1Z2","(780) 437-8119","(780) 437-8190","lswhyte@epsb.ca","http://outreach.epsb.ca","0","0","0","0","Public","53.517637","-113.489114","0","Edmonton School District No. 7","One Kingsway","Centre for Education","Edmonton","AB","T5H4G9","(780) 429-8000","","","http://www.epsb.ca","0","0","0","0","2017-03-20 22:01:15","3020","0","0","0","0","0","0","0","0","0","0","48","113","247","408","2012","2015","2017-03-20 20:24:32"
"0483","Thomas More Academy","Centre 170, Suite 145","10403 - 172 St","Edmonton","AB","T5S1K9","(780) 430-6969","(780) 431-9627","upcs_admin@upcs.org","","0","0","0","0","Private School","53.5468739","-113.6168528","0","Unlimited Potential Community Services Society","Centre 170, Suite 145","10403 - 172 St","Edmonton","AB","T5S1K9","(780) 440-0708","(780) 440-0760","upcs_admin@upcs.org","http://UPcs.org","0","0","0","0","2017-03-20 22:01:15","9272","0","0","0","0","0","1","1","2","1","0","-5","-2","0","-2","2012","2015","2017-03-20 20:24:33"
"0484","Amiskwaciy Academy","101 Airport Road","","Edmonton","AB","T5G3K2","","","","http://amiskwaciy.epsb.net","0","0","0","0","Public","53.5710828","-113.522451","0","Edmonton School District No. 7","One Kingsway","Centre for Education","Edmonton","AB","T5H4G9","(780) 429-8000","","","http://www.epsb.ca","0","0","0","0","2017-03-20 22:01:15","3020","0","0","0","0","0","0","0","15","8","0","6","0","5","34","2012","2015","2017-03-20 20:24:32"
"0528","Aboriginal Head Start - St. Francis Site","6770 129 Avenue","","Edmonton","AB","T5C1V7","(780) 448-9632","(780) 479-6199","melissa@bcrsociety.ab.ca","","0","0","0","0","ECS Private Operator","53.587908","-113.445103","0","Amiskwaciy Cultural Society","#204, 13229-146th Street","","Edmonton","AB","T5L4S8","(780) 640-9799","(780) 452-3072","mnollski@amiskwaciy.ca","","0","0","0","0","2017-03-20 22:01:15","0288","16","0","0","0","0","0","0","0","0","0","0","0","0","16","2012","2015","2017-03-20 20:24:33"
"0577","Columbus Academy","Centre 170, Suite 145","10403 - 172 St","Edmonton","AB","T5S1K9","(780) 440-0708","(780) 440-0760","upcs_admin@upcs.org","","0","0","0","0","Private School","53.5468739","-113.6168528","0","Unlimited Potential Community Services Society","Centre 170, Suite 145","10403 - 172 St","Edmonton","AB","T5S1K9","(780) 440-0708","(780) 440-0760","upcs_admin@upcs.org","http://UPcs.org","0","0","0","0","2017-03-20 22:01:15","9272","0","0","0","0","0","1","0","-1","-3","1","0","1","-3","-4","2012","2015","2017-03-20 20:24:33"
"0655","Elves Child Development Centre","  Elves Special Needs Society","10825 - 142 Street","Edmonton","AB","T5N3Y7","(780) 454-5310","(780) 454-5889","info@elves-society.com","","0","0","0","0","Private School","53.553572426311","-113.56476997117","0","Elves Special Needs Society","Elves Special Needs Society","10825 - 142 Street","Edmonton","AB","T5N3Y7","(780) 454-5310","(780) 454-5889","info@elves-society.com","http://www.elves-society.com","0","0","0","0","2017-03-20 22:01:15","9263","13","1","1","-1","-3","1","0","4","-2","0","-6","1","4","13","2012","2015","2017-03-20 20:24:33"
"0658","Connect Society's Early Childhood Services","6240-113 Street, N.W.","","Edmonton","AB","T6H3L2","(780) 454-9581","(780) 447-5820","redhead@connectsociety.org","","0","0","0","0","ECS Private Operator","53.4999779","-113.5244164","0","Connect Society-Deafness, Education, Advocacy & Family Services","6240-113 Street, N.W.","","Edmonton","AB","T6H3L2","(780) 454-9581","(780) 447-5820","reception@connectsociety.org","","0","0","0","0","2017-03-20 22:01:15","9522","2","0","0","0","0","0","0","0","0","0","0","0","0","2","2012","2015","2017-03-20 20:24:33"
"0681","Londonderry Child Development Society","13931-140 Street","","Edmonton","AB","T6V1J7","(780) 473-7216","(780) 473-7021","","","0","0","0","0","ECS Private Operator","53.6020396","-113.5612596","0","Londonderry Child Development Society","13931-140 Street","","Edmonton","AB","T6V1J7","(780) 473-7216","(780) 473-7021","","","0","0","0","0","2017-03-20 22:01:15","9543","3","0","0","0","0","0","0","0","0","0","0","0","0","3","2012","2015","2017-03-20 20:24:33"
"0684","Southview Child Care","3650 - 91 Street","","Edmonton","AB","T6E6P1","(780) 436-1823","(780) 439-3590","svccare@telus.net","","0","0","0","0","ECS Private Operator","53.471776","-113.4684695","0","The First Mennonite Church","3650 - 91 Street NW","","Edmonton","AB","T6E6P1","(780) 436-1823","(780) 439-3592","svccare@telus.net","","0","0","0","0","2017-03-20 22:01:15","9546","-2","0","0","0","0","0","0","0","0","0","0","0","0","-2","2012","2015","2017-03-20 20:24:33"
"0688","Norwood Child & Family Resource Centre","9516 - 114 Avenue","","Edmonton","AB","T5G0K7","(780) 471-3737","(780) 477-1632","info@norwoodcentre.com","http://norwoodcentre.com","0","0","0","0","ECS Private Operator","53.5645897","-113.4889483","0","Norwood Child & Family Resource Centre","9516 - 114 Avenue","","Edmonton","AB","T5G0K7","(780) 471-3737","(780) 477-1632","info@norwoodcentre.com","","0","0","0","0","2017-03-20 22:01:15","9550","40","0","0","0","0","0","0","0","0","0","0","0","0","40","2012","2015","2017-03-20 20:24:33"
"0697","St. Peter's Lutheran Church Early Childhood Services","5012 - 51 Avenue","","Leduc","AB","T9E5L2","(780) 986-5558","(780) 986-5173","kindergarten@stpetersleduc.ca","http://www.stpeterskindergarten.com","0","0","0","0","ECS Private Operator","53.265763410147","-113.55299446362","0","St. Peter's Lutheran Kindergarten (Leduc)","5012 - 51 Avenue","","Leduc","AB","T9E5L2","(780) 986-5151","(780) 980-5340","kindergarten@stpetersleduc.ca","http://www.stpeterskindergarten.com","0","0","0","0","2017-03-20 22:01:15","9559","-3","0","0","0","0","0","0","0","0","0","0","0","0","-3","2012","2015","2017-03-20 20:24:33"
"0700","Sherwood Park Kindergarten","105 Main Terrace","","Sherwood Park","AB","T8A0R7","(780) 467-5644","(780) 438-1601","info@spkindergarten.com","http://www.spkindergarten.com","0","0","0","0","ECS Private Operator","53.523534887575","-113.31541974306","0","Sherwood Park Kindergarten","105 Main Terrace","","Sherwood Park","AB","T8A0R7","(780) 467-5644","(780) 438-1601","info@spkindergarten.com","http://www.spkindergarten.com","0","0","0","0","2017-03-20 22:01:15","9562","-4","0","0","0","0","0","0","0","0","0","0","0","0","-4","2012","2015","2017-03-20 20:24:33"
"1003","Jackson Heights Elementary","311 Jackson Rd., N.W.","","Edmonton","AB","T6L6S7","(780) 465-9797","(780) 465-9796","jacksonheights@epsb.ca","http://jacksonheights@epsb.ca","0","0","0","0","Public","53.483441289088","-113.40903525397","0","Edmonton School District No. 7","One Kingsway","Centre for Education","Edmonton","AB","T5H4G9","(780) 429-8000","","","http://www.epsb.ca","0","0","0","0","2017-03-20 22:01:15","3020","-8","16","-5","-2","3","-5","0","0","0","0","0","0","0","-1","2012","2015","2017-03-20 20:24:32"
"1004","George P. Nicholson School","1120 - 113 Street","","Edmonton","AB","T6J7J4","(780) 439-9314","(780) 439-9356","georgepnicholson@epsb.ca","http://georgepnicholson.epsb.ca","0","0","0","0","Public","53.442650753956","-113.52542257672","0","Edmonton School District No. 7","One Kingsway","Centre for Education","Edmonton","AB","T5H4G9","(780) 429-8000","","","http://www.epsb.ca","0","0","0","0","2017-03-20 22:01:15","3020","5","16","28","22","12","-8","9","0","0","0","0","0","0","84","2012","2015","2017-03-20 20:24:32"
"1006","Edmonton Khalsa School","4504 Millwoods Road South","","Edmonton","AB","T6L6Y8","(780) 450-8753","(780) 461-6927","edkhalsa@telus.net","","0","0","0","0","Private School","53.443617274366","-113.4081833582","0","Edmonton Khalsa School Educational Association","4504 Millwoods Road South","","Edmonton","AB","T6L6Y8","(780) 450-8753","(780) 461-6927","edkhalsa@telus.net","","0","0","0","0","2017-03-20 22:01:15","0116","14","-1","23","1","6","4","0","-5","-3","-2","0","0","0","37","2012","2015","2017-03-20 20:24:33"
"1008","Headway School Society of Alberta","10435-76 Street NW","","Edmonton","AB","T6A3B1","(780) 461-7683","(780) 485-0507","headman@telus.net","","0","0","0","0","Private School","53.5475549","-113.4439862","0","Headway School Society of Alberta","10435-76 Street NW","","Edmonton","AB","T6A3B1","(780) 757-3456","(780) 485-0507","headman@telus.net","","0","0","0","0","2017-03-20 22:01:15","0118","14","7","-5","-10","0","15","-11","18","1","4","-5","-10","-3","15","2012","2015","2017-03-20 20:24:33"
"1022","Learning Store West Edmonton","9532 - 163 Street NW","","Edmonton","AB","T5P3M7","(780) 443-8072","(780) 444-2564","lswested@epsb.ca","http://outreach.epsb.ca","0","0","0","0","Public","53.532879711955","-113.6028126086","0","Edmonton School District No. 7","One Kingsway","Centre for Education","Edmonton","AB","T5H4G9","(780) 429-8000","","","http://www.epsb.ca","0","0","0","0","2017-03-20 22:01:15","3020","0","0","0","0","0","0","0","0","0","0","1","24","90","115","2012","2015","2017-03-20 20:24:32"
"1024","St. John Bosco","7411 - 161A Avenue","","Edmonton","AB","T5Z3V4","(780) 471-3140","(780) 471-3293","laurie.pollitt@ecsd.net","http://www.stjohnbosco.ecsd.net","0","0","0","0","Separate","53.621918","-113.4575304","0","Edmonton Catholic Separate School District No. 7","9807 - 106 Street","","Edmonton","AB","T5K1C2","(780) 441-6000","(780) 425-8759","","http://www.ecsd.net","0","0","0","0","2017-03-20 22:01:15","0110","7","25","-5","14","-3","25","-6","0","0","0","0","0","0","57","2012","2015","2017-03-20 20:24:33"
"1025","Father Michael Troy Junior High","3630 23 Street","","Edmonton","AB","T6T1W7","","","","http://www.fathermichaeltroy.ecsd.net","0","0","0","0","Separate","53.4720958","-113.3775492","0","Edmonton Catholic Separate School District No. 7","9807 - 106 Street","","Edmonton","AB","T5K1C2","(780) 441-6000","(780) 425-8759","","http://www.ecsd.net","0","0","0","0","2017-03-20 22:01:15","0110","0","0","0","0","0","0","0","11","-3","32","0","0","0","40","2012","2015","2017-03-20 20:24:33"
"1026","Archbishop Joseph MacNeil","750 Leger Way","","Edmonton","AB","T6R3H4","","(780) 471-1731","","","0","0","0","0","Separate","53.46008524711","-113.57723896138","0","Edmonton Catholic Separate School District No. 7","9807 - 106 Street","","Edmonton","AB","T5K1C2","(780) 441-6000","(780) 425-8759","","http://www.ecsd.net","0","0","0","0","2017-03-20 22:01:15","0110","122","4","-6","-9","-15","-19","-6","60","29","0","0","0","0","160","2012","2015","2017-03-20 20:24:33"
"1027","St. Teresa of Calcutta Elementary School","9008 - 105A Avenue","","Edmonton","AB","T5H4P9","(780) 471-3631","(780) 471-3649","dean.sullivan@ecsd.net","http://www.motherteresa.ecsd.net","0","0","0","0","Separate","53.552145969551","-113.47552766627","0","Edmonton Catholic Separate School District No. 7","9807 - 106 Street","","Edmonton","AB","T5K1C2","(780) 441-6000","(780) 425-8759","","http://www.ecsd.net","0","0","0","0","2017-03-20 22:01:15","0110","-7","3","9","7","-5","7","4","0","0","0","0","0","0","18","2012","2015","2017-03-20 20:24:33"
"1028","Blessed Oscar Romero Catholic High School","17760 - 69 Avenue","","Edmonton","AB","T5T6X3","(780) 428-2705","(780) 489-2873","david.warawa@ecsd.net","http://www.archbishoposcarromero.ecsd.net","0","0","0","0","Separate","53.504184245821","-113.629584","0","Edmonton Catholic Separate School District No. 7","9807 - 106 Street","","Edmonton","AB","T5K1C2","(780) 441-6000","(780) 425-8759","","http://www.ecsd.net","0","0","0","0","2017-03-20 22:01:15","0110","0","0","0","0","0","0","0","0","0","0","1","55","80","136","2012","2015","2017-03-20 20:24:33"
"1032","Corbett Hall Early Education Program","2-70 Corbett Hall","University of Alberta","Edmonton","AB","T6G2G4","(780) 492-5081","(780) 492-9333","cheep@ualberta.ca","","0","0","0","0","ECS Private Operator","53.5181022","-113.5237724","0","Department of Communication Sciences and Disorders","2-70 Corbett Hall","University of Alberta","Edmonton","AB","T6G2G4","(780) 492-5081","(780) 492-9333","CHEEP@ualberta.ca","","0","0","0","0","2017-03-20 22:01:15","0128","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2012","2015","2017-03-20 20:24:33"
"1075","STAR Catholic Outreach School","4906 - 50 Avenue","","Leduc","AB","T9E6W9","(780) 980-0955","(780) 980-0957","outreach@starcatholic.ab.ca","http://www.or.starcatholic.ab.ca","0","0","0","0","Separate","53.264989681907","-113.55113064418","0","St. Thomas Aquinas Roman Catholic Separate Regional Division No. 38","4906-50 Avenue","","Leduc","AB","T9E6W9","","","","http://starcatholic.ab.ca","0","0","0","0","2017-03-20 22:01:15","0020","0","0","0","0","0","0","0","0","0","0","38","31","48","117","2012","2015","2017-03-20 20:24:33"
"1096","Polish Sienkiewicz School","P.O.Box78076","RPO Callingwood","Edmonton","AB","T5t6A1","(780) 439-5916","(780) 439-5916","sfurtak@shaw.ca","http://www.pshs.ca","0","0","0","0","Private School","53.555995280316","-113.4999159828","0","H. Sienkiewicz Polish School Parent Association","P.O.Box 78076","RPO Callingwood","Edmonton","AB","T5T6A1","(780) 439-5916","(780) 439-5916","sfurtak@shaw.ca","http://www.pshs.ca/","0","0","0","0","2017-03-20 22:01:15","0149","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2012","2015","2017-03-20 20:24:33"
"1127","Mother Earth's Children's Charter School","c/o St John's School","RR #5","Stony Plain","AB","T7Z1X5","(780) 702-7531","(780) 848-2395","admin@meccs.org","http://www.meccs.org","0","0","0","0","Charter","53.385166645163","-114.29010412542","0","Mother Earth's Children's Charter School Society","Comp 11 Site 504 RR5","","Stony Plain","AB","T7Z1X5","(780) 702-7531","(780) 848-2395","admin@meccs.org","http://www.meccs.org","0","0","0","0","2017-03-20 22:01:15","0154","-5","-5","2","2","-5","-8","-16","1","-8","0","0","0","0","-42","2012","2015","2017-03-20 20:24:33"
"1156","Holy Spirit Catholic School","151 Crimson Drive","","Sherwood Park","AB","T8H2R2","","(780) 416-9529","","http://holyspiritcs.eics.ab.ca","0","0","0","0","Separate","53.551958705489","-113.27453599867","0","Elk Island Catholic Separate Regional Division No. 41","160 Festival Way","","Sherwood Park","AB","T8A5Z2","","","","http://www.eics.ab.ca","0","0","0","0","2017-03-20 22:01:15","0046","33","-2","34","21","10","6","-16","20","1","-58","0","0","0","49","2012","2015","2017-03-20 20:24:33"
"1163","Inner City High School","P.O. Box 11506","","Edmonton","AB","T5J3K7","(780) 424-9425","(780) 426-3386","joe@innercity.ca","","0","0","0","0","Private School","53.543276647275","-113.49782345715","0","Inner City Youth Development Association","P.O. Box 11506","","Edmonton","AB","T5J3K7","(780) 424-9425","(780) 426-3386","info@innercity.ca","","0","0","0","0","2017-03-20 22:01:15","9342","0","0","0","0","0","0","0","0","0","0","4","15","7","26","2012","2015","2017-03-20 20:24:33"
"1166","White Cloud Head Start","11648 85 street","","Edmonton","AB","T5B0E5","(780) 486-2543","(780) 489-5089","whitecloud@telus.ca","http://www.bentarrow.ca","0","0","0","0","ECS Private Operator","53.5682509","-113.472232","0","Bent Arrow Traditional Healing Society","11648 85 street","","Edmonton","AB","T5B3E5","(780) 486-2543","(780) 489-5089","whitecloud@telus.net","","0","0","0","0","2017-03-20 22:01:15","0157","3","0","0","0","0","0","0","0","0","0","0","0","0","3","2012","2015","2017-03-20 20:24:33"
"1173","Clareview Head Start","9321 Jasper Avenue","","Edmonton","AB","T5H3T7","(780) 475-1020","","info@e4calberta.org","","0","0","0","0","ECS Private Operator","53.546269875636","-113.47609035715","0","Edmonton City Centre Church Corporation","9321 Jasper Avenue","","Edmonton","AB","T5H3T7","","","chs@e4calberta.org","","0","0","0","0","2017-03-20 22:01:15","0159","93","0","0","0","0","0","0","0","0","0","0","0","0","93","2012","2015","2017-03-20 20:24:33"
"1174","Alberta Health Services Youth Residential Treatment Centre","12315 - 125 Street","","Edmonton","AB","T5L0N4","(780) 644-2918","(780) 644-1544","santo.saporito@ecsd.net","","0","0","0","0","Separate","53.578699","-113.537231","0","Edmonton Catholic Separate School District No. 7","9807 - 106 Street","","Edmonton","AB","T5K1C2","(780) 441-6000","(780) 425-8759","","http://www.ecsd.net","0","0","0","0","2017-03-20 22:01:15","0110","0","0","0","0","0","0","0","-1","0","0","0","-4","0","-5","2012","2015","2017-03-20 20:24:33"
"1221","Lakeland Ridge School","101 Crimson Drive","","Sherwood Park","AB","T8H2P1","(780) 416-9018","(780) 416-9042","principal.llr@ei.educ.ab.ca","http://www.lakeridge.ca","0","0","0","0","Public","53.552651945817","-113.27417967857","0","Elk Island Public Schools Regional Division No. 14","683 Wye Road","","Sherwood Park","AB","T8B1N2","(780) 417-8220","(780) 417-8181","Linda.Griffin@eips.ca","http://www.eips.ca","0","0","0","0","2017-03-20 22:01:15","2195","-14","-16","4","32","-11","5","-23","8","-25","20","0","0","0","-20","2012","2015","2017-03-20 20:24:32"
